NatEmis,Official_Institution_Name,CMC,EICircuit,Phase_PED,F,Gr R,Gr 1,Year(s) on the Programme,Matched_GPS_Coordinates,,,Matched_Area
200100589,NOSIPHO PRIMARY SCHOOL,Tinara,NM Tinara-4,2. PRIMARY,3,41,41,2025,"-33.82285091592441, 25.40054558226373",,,KwaNobuhle
200100614,PAPENKUIL PRIMARY SCHOOL,Central,NM Central-1,2. PRIMARY,3,57,100,2025,"-33.92099206745583, 25.55307562274344",,,Gqeberha
200100628,PHILLIP NIKIWE PRIMARY SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,0,0,2025,,,,
200100629,PHINDUBUYE PRIMARY SCHOOL,Tinara,NM Tinara-2,2. PRIMARY,3,52,51,2025,"-33.83062605023574, 25.398242566919404",,,KwaNobuhle
200100643,R H GODLO SENIOR PRIMARY SCHOOL,Tinara,NM Tinara-4,2. PRIMARY,3,27,53,2025,"-33.80322105508004, 25.3787069380817",,,KwaNobuhle
200100647,REPUBLIC PRIMARY SCHOOL,Central,NM Central-1,2. PRIMARY,3,51,95,2025,"-33.898084173207806, 25.540024595759267",,,Gqeberha
200100667,RUFANE DONKIN PRIMARY SCHOOL,Central,NM Central-1,2. PRIMARY,3,40,69,2025,"-33.9153888766598, 25.546977809251707",,,Gqeberha
200100679,SANCTOR PRIMARY SCHOOL,Central,NM Central-5,2. PRIMARY,3,85,94,2025,"-33.882853986927294, 25.506989866922257",,,Bethelsdorp
200100682,SAPPHIRE ROAD PRIMARY SCHOOL,Tinara,NM Tinara-1,2. PRIMARY,3,78,131,2025,"-33.85324397322499, 25.47154808041206",,,Booysen Park
200100685,SEAGULL PRIMARY SCHOOL,Tinara,NM Tinara-1,2. PRIMARY,3,111,175,2025,"-33.73320493860084, 25.385561809241654",,,Rosedale
200100704,SITHEMBILE PRIMARY SCHOOL,Central,NM Central-4,2. PRIMARY,3,21,14,2025,,,,
200100720,SOUTPAN PRIMARY SCHOOL,Central,NM Central-5,2. PRIMARY,3,54,87,2025,"-33.87337243400094, 25.517778838085523",,,West end
200100721,SOWETO-ON-SEA PRIMARY SCHOOL,Central,NM Central-5,2. PRIMARY,3,30,22,2025,"-33.85795287872416, 25.57484605157616",,,Soweto on sea
200100737,ST JOSEPH'S (RC) PRIMARY SCHOOL,Tinara,NM Tinara-4,2. PRIMARY,3,37,79,2025,"-33.74825096092149, 25.384898188680065",,,Uitenhage 
200100743,ST TERESA'S (RC) PRIMARY SCHOOL,Algoa,NM Algoa-2,2. PRIMARY,3,69,110,2025,"-33.93623296935866, 25.57361193808895",,,Schauderville
200100751,STRELITZIA PRIMARY SCHOOL,Tinara,NM Tinara-5,2. PRIMARY,3,83,92,2025,"-33.86099232754639, 25.49428896692102",,,Bethelsdorp
200100763,SWARTKOPS PRIMARY SCHOOL,Algoa,NM Algoa-5,2. PRIMARY,3,93,88,2025,"-33.8649039040326, 25.602499541274273",,,Swartkops
200100795,TRIOMF PRIMARY SCHOOL,Central,NM Central-5,2. PRIMARY,3,109,135,2025,"-33.88772554148689, 25.510350624594736",,,Bethelsdorp
200100801,UITENHAGE PRIMARY SCHOOL,Tinara,NM Tinara-2,2. PRIMARY,3,165,171,2025,"-33.74141987896405, 25.373904953422986",,,Uitenhage
200100812,VAN DER KEMP PRIMARY SCHOOL,Central,NM Central-3,2. PRIMARY,3,70,87,2025,"-33.88920216082685, 25.533270724594946",,,Bethelsdorp
200100813,VAN STADENS RESERVE SCHOOL,Tinara,NM Tinara-5,2. PRIMARY,3,33,26,2025,"-33.913356378604405, 25.21843363017082",,,Gqeberha
200100816,VéRITé JUNIOR SECONDARY SCHOOL,Tinara,NM Tinara-3,2. PRIMARY,3,0,0,2025,,,,
200100826,VUBA JUNIOR PRIMARY SCHOOL,Tinara,NM Tinara-4,2. PRIMARY,3,29,27,2025,"-33.799200939662164, 25.386491289156734",,,"Kwanobuhle,2"
200100845,WEST END PRIMARY SCHOOL,Central,NM Central-5,2. PRIMARY,3,95,79,2025,"-33.881358066966776, 25.518617832630113",,,Bethelsdorp
200100864,WINTERBERG PRIMARY SCHOOL,Tinara,NM Tinara-2,2. PRIMARY,3,81,112,2025,"-33.76942551851253, 25.39449438544868",,,Uitenhage
200100872,YELLOWWOODS FARM SCHOOL,Tinara,NM Tinara-5,2. PRIMARY,2,26,39,2025,"-33.9032863024755, 25.257587487827852",,,Uitenhage
200100877,ZAMUKUKHANYA PUBLIC PRIMARY SCHOOL,Central,NM Central-1,2. PRIMARY,3,23,19,2025,"-33.86889744033648, 25.572844558471278",,,Zwide
200100926,NKUTHALO PUBLIC PRIMARY SCHOOL,Central,NM Central-4,2. PRIMARY,3,23,21,2025,"-33.877937218667995, 25.565405592768904",,,Zwide
200101026,JOE SLOVO PRIMARY SCHOOL,Tinara,NM Tinara-5,2. PRIMARY,3,70,158,2025,"-33.829849537050904, 25.502752724591666",,,KwaDwesi
200101036,KLEINSKOOL COMMUNITY PRIMARY SCHOOL,Tinara,NM Tinara-5,2. PRIMARY,3,80,161,2025,"-33.857321621015814, 25.516640380412277",,,Arcadia
